Num_Licence,nom,prenom,age,telephone,equipe,couleur_maillot,entraineur
1265,Daouche,Jean-françois,45,33615294863,Ragondins virulents,Rose,Michael
1289,Ruffez,Philippe,52,33659382468,Moineaux Dechaines,Vert,Bob
1245,Menez,Etienne,55,33689459612,Loutres Revanchardes,Bleu,Johnny
1268,Menard,Michel,46,33672548612,Loutres Revanchardes,Bleu,Johnny
1235,Liemann,Bernard,48,33691259874,Loutres Revanchardes,Bleu,Johnny
1274,Mentry,Georges,39,33695963266,Moineaux Dechaines,Vert,Bob
1269,De la ruche,Jean-Pierre,41,33685421578,Moineaux Dechaines,Vert,Bob
1123,Libeau,Clovis,42,33696369525,Loutres Revanchardes,Bleu,Johnny
1189,Dupuis,Jean-Michel,55,33685442158,Moineaux Dechaines,Vert,Bob
1246,Thibault,Anselme,62,33699866312,Ragondins virulents,Rose,Michael
1285,Gendre,Albert,63,33785946321,Loutres Revanchardes,Bleu,Johnny
1235,Gendre,Maurice,60,33659821647,Ragondins virulents,Rose,Michael
1236,Imana,Mohamed,58,33655998401,Ragondins virulents,Rose,Michael
1298,Yakov,Rudolph,45,33602956388,Moineaux Dechaines,Vert,Bob
1175,Amann,Iliass,49,33625689741,Loutres Revanchardes,Bleu,Johnny
1269,Abuela,Mathieu,51,33653220139,Moineaux Dechaines,Vert,Bob
1283,Abuela,Jean,52,33600230698,Ragondins virulents,Rose,Michael
1273,Cisse,Boubakar,46,33784563012,Ragondins virulents,Rose,Michael
